Timestamp,Axis1,Axis2,Axis3,,
2030.8,-0.969,-0.09,-0.277,,
2030.9,-0.961,-0.063,-0.27,,
2031,-0.953,-0.086,-0.27,,
2031.1,-0.957,-0.102,-0.266,,
2031.2,-0.961,-0.09,-0.262,,
2031.3,-0.949,-0.094,-0.262,,
2031.4,-0.953,-0.098,-0.262,,
2031.5,-0.961,-0.105,-0.266,,
2031.6,-0.965,-0.109,-0.277,,
2031.7,-0.953,-0.066,-0.277,,
2031.8,-0.945,-0.078,-0.273,,
2031.9,-0.957,-0.094,-0.27,,
2032,-0.969,-0.082,-0.27,,
2032.1,-0.957,-0.074,-0.273,,
2032.2,-0.957,-0.086,-0.277,,
2032.3,-0.965,-0.086,-0.281,,
2032.4,-0.965,-0.082,-0.281,,
2032.5,-0.961,-0.074,-0.289,,
2032.6,-0.953,-0.074,-0.293,,
2032.7,-0.961,-0.086,-0.293,,
2032.8,-0.957,-0.082,-0.293,,
2032.9,-0.957,-0.098,-0.293,,
2033,-0.965,-0.137,-0.297,,
2033.1,-0.977,-0.09,-0.293,,
2033.2,-0.957,-0.113,-0.313,,
2033.3,-0.949,0.051,-0.305,,
2033.4,-0.895,-0.016,-0.336,,
2033.5,-0.938,-0.043,-0.316,,
2033.6,-0.965,-0.074,-0.309,,
2033.7,-0.965,-0.082,-0.297,,
2033.8,-0.969,-0.082,-0.297,,
2033.9,-0.969,-0.082,-0.305,,
2034,-0.949,-0.066,-0.316,,
2034.1,-0.938,-0.063,-0.332,,
2034.2,-0.938,-0.059,-0.336,,
2034.3,-0.934,-0.055,-0.332,,
2034.4,-0.938,-0.043,-0.332,,
2034.5,-0.945,-0.031,-0.328,,
2034.6,-0.957,-0.035,-0.328,,
2034.7,-0.965,-0.047,-0.324,,
2034.8,-0.969,-0.055,-0.32,,
2034.9,-0.969,-0.063,-0.313,,
2035,-0.969,-0.07,-0.313,,
2035.1,-0.953,-0.066,-0.32,,
2035.2,-0.945,-0.063,-0.324,,
2035.3,-0.941,-0.063,-0.332,,
2035.4,-0.941,-0.051,-0.34,,
2035.5,-0.945,-0.063,-0.352,,
2035.6,-0.938,-0.063,-0.348,,
2035.7,-0.949,-0.07,-0.355,,
2035.8,-0.953,-0.043,-0.363,,
2035.9,-0.949,0.008,-0.363,,
2036,-0.941,0.043,-0.355,,
2036.1,-0.934,-0.004,-0.344,,
2036.2,-0.941,-0.039,-0.336,,
2036.3,-0.945,-0.074,-0.328,,
2036.4,-0.949,-0.086,-0.34,,
2036.5,-0.945,-0.023,-0.371,,
