631.4,-0.563,0.383,-0.219,,
631.5,-0.605,0.438,-0.211,,
631.6,-0.602,0.5,-0.184,,
631.7,-0.566,0.551,-0.137,,
631.8,-0.555,0.582,-0.133,,
631.9,-0.563,0.602,-0.176,,
632,-0.563,0.602,-0.199,,
632.1,-0.539,0.574,-0.18,,
632.2,-0.516,0.547,-0.133,,
632.3,-0.516,0.531,-0.09,,
632.4,-0.539,0.496,-0.066,,
632.5,-0.57,0.453,-0.039,,
632.6,-0.609,0.445,-0.023,,
632.7,-0.645,0.473,-0.016,,
632.8,-0.641,0.523,0.047,,
632.9,-0.629,0.582,0.129,,
633,-0.664,0.617,0.141,,
633.1,-0.746,0.652,0.047,,
633.2,-0.844,0.676,-0.047,,
633.3,-0.953,0.703,-0.121,,
633.4,-1.063,0.738,-0.164,,
633.5,-1.148,0.797,-0.141,,
633.6,-1.219,0.855,-0.086,,
633.7,-1.309,0.895,-0.051,,
633.8,-1.434,0.898,-0.039,,
633.9,-1.543,0.879,-0.035,,
634,-1.59,0.844,-0.043,,
634.1,-1.547,0.77,-0.133,,
634.2,-1.441,0.68,-0.301,,
634.3,-1.313,0.563,-0.422,,
634.4,-1.191,0.461,-0.434,,
634.5,-1.105,0.383,-0.41,,
634.6,-1.074,0.316,-0.406,,
634.7,-1.074,0.277,-0.414,,
634.8,-1.098,0.316,-0.41,,
634.9,-1.105,0.414,-0.375,,
635,-1.086,0.496,-0.305,,
635.1,-1.063,0.555,-0.242,,
635.2,-1.023,0.574,-0.191,,
635.3,-0.98,0.559,-0.16,,
635.4,-0.949,0.512,-0.176,,
635.5,-0.91,0.461,-0.207,,
635.6,-0.871,0.41,-0.238,,
635.7,-0.848,0.355,-0.258,,
635.8,-0.832,0.313,-0.27,,
635.9,-0.84,0.277,-0.273,,
636,-0.84,0.25,-0.281,,
636.1,-0.852,0.227,-0.309,,
636.2,-0.867,0.211,-0.34,,
636.3,-0.875,0.199,-0.348,,
636.4,-0.879,0.203,-0.336,,
636.5,-0.895,0.223,-0.336,,
636.6,-0.914,0.25,-0.32,,
636.7,-0.93,0.273,-0.289,,
636.8,-0.938,0.293,-0.273,,
636.9,-0.941,0.297,-0.273,,
637,-0.934,0.293,-0.27,,
637.1,-0.906,0.281,-0.27,,
637.2,-0.879,0.262,-0.281,,
637.3,-0.863,0.246,-0.301,,
637.4,-0.859,0.242,-0.313,,
637.5,-0.852,0.238,-0.301,,
637.6,-0.867,0.242,-0.293,,
637.7,-0.875,0.246,-0.285,,
637.8,-0.883,0.242,-0.281,,
637.9,-0.883,0.23,-0.277,,
638,-0.879,0.199,-0.277,,
638.1,-0.879,0.176,-0.297,,
638.2,-0.902,0.156,-0.32,,
638.3,-0.93,0.133,-0.328,,
638.4,-0.961,0.125,-0.332,,
638.5,-0.984,0.121,-0.328,,
638.6,-0.996,0.129,-0.332,,
638.7,-0.992,0.129,-0.324,,
638.8,-0.98,0.133,-0.313,,
638.9,-0.973,0.145,-0.332,,
639,-0.969,0.156,-0.359,,
639.1,-0.957,0.164,-0.363,,
639.2,-0.945,0.18,-0.363,,
639.3,-0.945,0.207,-0.371,,
639.4,-0.941,0.23,-0.355,,
639.5,-0.945,0.25,-0.336,,
639.6,-0.957,0.266,-0.332,,
639.7,-0.957,0.281,-0.328,,
639.8,-0.949,0.297,-0.316,,
639.9,-0.938,0.297,-0.309,,
640,-0.922,0.309,-0.313,,
640.1,-0.914,0.32,-0.305,,
640.2,-0.91,0.328,-0.297,,
640.3,-0.914,0.352,-0.297,,
640.4,-0.922,0.375,-0.305,,
640.5,-0.922,0.398,-0.301,,
640.6,-0.914,0.43,-0.301,,
640.7,-0.91,0.453,-0.273,,
640.8,-0.891,0.473,-0.234,,
640.9,-0.883,0.496,-0.219,,
641,-0.867,0.508,-0.211,,
641.1,-0.852,0.508,-0.199,,
641.2,-0.848,0.5,-0.191,,
641.3,-0.852,0.484,-0.184,,
641.4,-0.863,0.461,-0.191,,
641.5,-0.875,0.449,-0.219,,
641.6,-0.863,0.453,-0.234,,
641.7,-0.836,0.461,-0.242,,
641.8,-0.82,0.473,-0.262,,
641.9,-0.813,0.473,-0.293,,
642,-0.801,0.465,-0.289,,
642.1,-0.793,0.441,-0.27,,
642.2,-0.809,0.445,-0.258,,
642.3,-0.832,0.445,-0.25,,
642.4,-0.84,0.461,-0.234,,
642.5,-0.844,0.473,-0.227,,
642.6,-0.844,0.477,-0.227,,
642.7,-0.844,0.473,-0.215,,
642.8,-0.859,0.461,-0.215,,
642.9,-0.871,0.449,-0.23,,
643,-0.871,0.445,-0.242,,
643.1,-0.875,0.445,-0.254,,
643.2,-0.875,0.453,-0.254,,
643.3,-0.867,0.469,-0.242,,
643.4,-0.867,0.477,-0.219,,
643.5,-0.844,0.477,-0.156,,
643.6,-0.844,0.484,-0.129,,
643.7,-0.863,0.504,-0.141,,
643.8,-0.863,0.523,-0.156,,
643.9,-0.852,0.551,-0.164,,
644,-0.832,0.578,-0.176,,
644.1,-0.824,0.609,-0.18,,
644.2,-0.816,0.629,-0.184,,
644.3,-0.805,0.637,-0.191,,
644.4,-0.801,0.633,-0.203,,
644.5,-0.805,0.617,-0.207,,
644.6,-0.797,0.598,-0.191,,
644.7,-0.789,0.563,-0.176,,
644.8,-0.793,0.512,-0.168,,
644.9,-0.813,0.461,-0.176,,
645,-0.836,0.43,-0.188,,
645.1,-0.863,0.422,-0.195,,
645.2,-0.879,0.43,-0.184,,
645.3,-0.891,0.434,-0.168,,
645.4,-0.902,0.438,-0.176,,
645.5,-0.906,0.434,-0.195,,
645.6,-0.898,0.414,-0.227,,
645.7,-0.902,0.418,-0.254,,
645.8,-0.898,0.398,-0.27,,
645.9,-0.906,0.383,-0.277,,
646,-0.918,0.367,-0.289,,
