LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.005389,0.983455,-1.572031,83507,2015-07-06 12:35:06:342
-0.051643,-0.535736,1.3948,84007,2015-07-06 12:35:06:842
0.141156,0.306113,-0.66372,84507,2015-07-06 12:35:07:342
1.019081,-0.809367,0.644111,85007,2015-07-06 12:35:07:842
-0.13921,1.22161,-0.464035,85507,2015-07-06 12:35:08:342
-1.14931,-0.094603,-0.006287,86013,2015-07-06 12:35:08:848
0.471969,0.221988,0.270488,86507,2015-07-06 12:35:09:342
-0.063618,0.160616,-0.113015,87007,2015-07-06 12:35:09:842
2.129472,-0.422871,0.917592,87512,2015-07-06 12:35:10:347
-1.520388,-1.012045,-1.762136,88007,2015-07-06 12:35:10:842
-0.902922,-1.552422,0.674048,88508,2015-07-06 12:35:11:343
-1.049767,0.227527,-0.968636,89008,2015-07-06 12:35:11:843
0.474813,-0.445025,0.26914,89507,2015-07-06 12:35:12:342
-0.278421,0.611928,-0.463137,90007,2015-07-06 12:35:12:842
-0.464185,0.262255,0.204475,90507,2015-07-06 12:35:13:342
-0.461191,-0.282463,-0.890199,91007,2015-07-06 12:35:13:842
0.186812,-0.082928,0.12499,91507,2015-07-06 12:35:14:342
0.781675,-0.338296,0.366288,92007,2015-07-06 12:35:14:842
-0.782573,-1.262774,-1.523382,92507,2015-07-06 12:35:15:342
-0.565374,-0.390837,-0.556243,93007,2015-07-06 12:35:15:842
-0.492326,-0.06736,0.393981,93508,2015-07-06 12:35:16:343
1.126408,-0.347428,0.600401,94011,2015-07-06 12:35:16:846
0.944087,0.789608,-1.648672,94514,2015-07-06 12:35:17:349
-1.179397,0.388143,0.446971,95007,2015-07-06 12:35:17:842
0.433948,0.420925,-1.468746,95507,2015-07-06 12:35:18:342
0.141606,-0.165855,-0.050146,96007,2015-07-06 12:35:18:842
0.319136,-0.40865,0.925376,96507,2015-07-06 12:35:19:342
-1.515449,-0.050894,-1.222059,97006,2015-07-06 12:35:19:841
-0.826132,-1.12042,-0.050595,97507,2015-07-06 12:35:20:342
