,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,SUM,FILTER
105,-0.73557,-0.095801,2.228416,54007,2015-07-06 12:34:36:842,2.348633417,1.458769507
106,-0.743204,0.160915,0.505649,54507,2015-07-06 12:34:37:342,0.91319589,1.404212145
107,0.755778,-0.247136,0.574805,55007,2015-07-06 12:34:37:842,0.981161238,1.361907054
108,0.518971,1.570085,0.35117,55510,2015-07-06 12:34:38:345,1.690508259,1.394767175
109,-0.936004,-0.385149,0.526156,56009,2015-07-06 12:34:38:844,1.140738084,1.369364266
110,-1.038391,-0.075593,0.088765,56507,2015-07-06 12:34:39:342,1.044915975,1.336919437
111,0.354613,-0.234113,0.670306,57007,2015-07-06 12:34:39:842,0.793643125,1.282591806
112,0.723146,-0.454754,0.739313,57511,2015-07-06 12:34:40:346,1.129745569,1.267307182
113,0.485141,0.520468,0.37991,58007,2015-07-06 12:34:40:842,0.806585604,1.221235024
114,-1.089434,-0.12963,0.552651,58507,2015-07-06 12:34:41:342,1.22845167,1.221956689
115,0.592169,-0.588426,-1.218766,59007,2015-07-06 12:34:41:842,1.477260926,1.247487112
116,1.006806,0.021555,-0.206271,59512,2015-07-06 12:34:42:347,1.027944875,1.225532889
117,1.016985,1.800157,0.826581,60007,2015-07-06 12:34:42:842,2.226670129,1.325646613
118,-0.407153,-0.387843,-0.246238,60507,2015-07-06 12:34:43:342,0.613863919,1.254468343
119,1.049767,-0.838107,-2.170636,61007,2015-07-06 12:34:43:842,2.552664244,1.384287933
120,1.064287,0.086071,0.326172,61508,2015-07-06 12:34:44:343,1.116469081,1.357506048
121,0.004491,-0.368833,0.114811,62007,2015-07-06 12:34:44:842,0.386315307,1.260386974
122,-2.037413,-0.06736,-1.509311,62507,2015-07-06 12:34:45:342,2.536455952,1.387993872
123,0.449216,1.102607,-0.830922,63012,2015-07-06 12:34:45:847,1.451884493,1.394382934
124,0.075593,-0.507145,0.145497,63507,2015-07-06 12:34:46:342,0.532991304,1.308243771
125,-0.900976,-0.214205,0.204774,64007,2015-07-06 12:34:46:842,0.948458711,1.272265265
126,-0.219593,-1.117576,-1.032553,64507,2015-07-06 12:34:47:342,1.53732329,1.298771067
127,-1.805396,-0.563428,0.051942,65007,2015-07-06 12:34:47:842,1.891984091,1.35809237
128,0.041913,-0.219444,0.411494,65507,2015-07-06 12:34:48:342,0.468230371,1.26910617
129,0.370031,-0.350272,0.441432,66008,2015-07-06 12:34:48:843,0.674148074,1.20961036
130,-0.639021,-0.744103,-1.624123,66506,2015-07-06 12:34:49:341,1.89731722,1.278381046
131,-0.033081,1.647324,0.316741,67007,2015-07-06 12:34:49:842,1.677824656,1.318325407
132,0.787662,-0.419278,-0.759221,67507,2015-07-06 12:34:50:342,1.171589516,1.303651818
133,2.97656,1.347648,-0.27902,68007,2015-07-06 12:34:50:842,3.279316503,1.501218287
134,-0.852926,-1.428479,-1.636696,68507,2015-07-06 12:34:51:342,2.333839928,1.584480451
135,-0.9857,-1.438658,-0.456251,69007,2015-07-06 12:34:51:842,1.802638706,1.606296276
136,0.253273,-0.282463,-1.183738,69507,2015-07-06 12:34:52:342,1.243047952,1.569971444
137,2.953508,1.519041,-0.436792,70007,2015-07-06 12:34:52:842,3.349848104,1.74795911
138,-1.537303,0.708926,-1.182691,70506,2015-07-06 12:34:53:341,2.065099172,1.779673116
139,-0.333057,-0.603545,-0.32677,71007,2015-07-06 12:34:53:842,0.762871002,1.677992905
140,-0.248633,0.51463,-0.489931,71507,2015-07-06 12:34:54:342,0.752791333,1.585472747
141,0.167352,-0.233365,0.030387,72007,2015-07-06 12:34:54:842,0.288772029,1.455802676
142,-0.411045,0.97642,-0.384101,72507,2015-07-06 12:34:55:342,1.12689289,1.422911697
143,-1.342708,-0.799338,-0.914299,73007,2015-07-06 12:34:55:842,1.810455377,1.461666065
144,0.453407,0.435894,0.063019,73507,2015-07-06 12:34:56:342,0.632101955,1.378709654
145,-0.096549,-0.275427,-0.041464,74007,2015-07-06 12:34:56:842,0.294789764,1.270317665
146,-0.389041,-0.550555,0.064965,74507,2015-07-06 12:34:57:342,0.677262253,1.211012124
147,0.546364,-0.253573,-1.612297,75007,2015-07-06 12:34:57:842,1.721137561,1.262024668
148,-1.079106,2.800227,-0.12963,75510,2015-07-06 12:34:58:345,3.003755141,1.436197715
149,0.116458,-0.305964,-0.405207,76010,2015-07-06 12:34:58:845,0.520931039,1.344671047
150,1.026116,0.332608,0.70234,76507,2015-07-06 12:34:59:342,1.287176601,1.338921603
151,0.122894,0.131876,-0.755928,77007,2015-07-06 12:34:59:842,0.777123771,1.28274182
152,-0.272284,-0.679287,0.829874,77506,2015-07-06 12:35:00:341,1.106462951,1.265113933
153,0.398022,0.028441,-0.850681,78007,2015-07-06 12:35:00:842,0.939621502,1.23256469
154,0.340841,-0.396675,0.294587,78507,2015-07-06 12:35:01:342,0.600254232,1.169333644
155,0.449366,-0.273781,-0.472268,79007,2015-07-06 12:35:01:842,0.707052262,1.123105506
156,-1.172661,-0.170196,-1.26472,79508,2015-07-06 12:35:02:343,1.733094682,1.184104423
