,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,SUM
97,-0.398471,-0.397573,0.087718,50006,2015-07-06 12:34:32:841,0.569682258539
98,-0.520318,-0.239801,-0.621358,50507,2015-07-06 12:34:33:342,0.845175191832
99,0.525557,2.279161,1.521436,51009,2015-07-06 12:34:33:844,2.79026029722
100,-1.018332,0.027692,-0.196841,51507,2015-07-06 12:34:34:342,1.03755158347
101,1.307381,-3.282075,0.462538,52007,2015-07-06 12:34:34:842,3.56303280735
102,-0.881966,-0.260309,0.512684,52509,2015-07-06 12:34:35:344,1.0528388692
103,0.401465,0.12993,0.484243,53007,2015-07-06 12:34:35:842,0.642298399635
104,0.839155,-1.165776,0.058079,53507,2015-07-06 12:34:36:342,1.43756320433
105,-0.73557,-0.095801,2.228416,54007,2015-07-06 12:34:36:842,2.3486334166
106,-0.743204,0.160915,0.505649,54507,2015-07-06 12:34:37:342,0.91319589029
107,0.755778,-0.247136,0.574805,55007,2015-07-06 12:34:37:842,0.981161238434
108,0.518971,1.570085,0.35117,55510,2015-07-06 12:34:38:345,1.69050825936
109,-0.936004,-0.385149,0.526156,56009,2015-07-06 12:34:38:844,1.14073808412
110,-1.038391,-0.075593,0.088765,56507,2015-07-06 12:34:39:342,1.04491597545
111,0.354613,-0.234113,0.670306,57007,2015-07-06 12:34:39:842,0.793643125198
112,0.723146,-0.454754,0.739313,57511,2015-07-06 12:34:40:346,1.12974556861
113,0.485141,0.520468,0.37991,58007,2015-07-06 12:34:40:842,0.806585604263
114,-1.089434,-0.12963,0.552651,58507,2015-07-06 12:34:41:342,1.22845166981
115,0.592169,-0.588426,-1.218766,59007,2015-07-06 12:34:41:842,1.47726092644
116,1.006806,0.021555,-0.206271,59512,2015-07-06 12:34:42:347,1.02794487454
117,1.016985,1.800157,0.826581,60007,2015-07-06 12:34:42:842,2.22667012924
